epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,439.91,3.07108,3.34479,4.18084,0.00355,0.9635,0.03847,0.00947,2.67489,3.61859,4.13885,0.00046,0.00046,0.00046
2,890.727,3.04837,3.22619,4.04273,0.00352,0.9562,0.18007,0.04137,2.77556,3.64654,3.99517,0.000928368,0.000928368,0.000928368
3,1373.1,2.97108,3.17694,3.76579,0.00371,0.9562,0.24339,0.08095,2.32327,3.29978,3.91717,0.00138485,0.00138485,0.00138485
4,1881.46,2.78964,3.05973,3.45935,0.00431,0.94891,0.05212,0.01916,2.51909,3.49937,5.72782,0.00182946,0.00182946,0.00182946
5,2365.36,2.63266,2.96204,3.24901,0.03715,0.86861,0.39091,0.08179,2.45187,3.3969,4.15615,0.001901,0.001901,0.001901
6,2814.75,2.51115,2.83406,3.11998,0.2932,0.41606,0.25772,0.0927,2.08764,3.46941,3.36252,0.00187625,0.00187625,0.00187625
7,3228.4,2.40215,2.73151,2.9118,0.14712,0.42336,0.12638,0.04739,2.27531,3.15804,3.49168,0.0018515,0.0018515,0.0018515
8,3643.51,2.31394,2.6335,2.81229,0.27454,0.48175,0.2285,0.07593,2.13214,4.03339,3.25625,0.00182675,0.00182675,0.00182675
9,4063.77,2.20829,2.50636,2.73345,0.35501,0.57664,0.30999,0.0869,2.15629,3.29281,3.29061,0.001802,0.001802,0.001802
10,4482.41,2.06808,2.38056,2.64651,0.31286,0.48175,0.28188,0.06616,2.29693,3.59926,3.23305,0.00177725,0.00177725,0.00177725
11,4905.43,2.00986,2.25709,2.55197,0.45065,0.56934,0.37337,0.11414,2.06548,2.90322,3.01632,0.0017525,0.0017525,0.0017525
12,5324.14,1.9786,2.1802,2.52531,0.49713,0.67153,0.50661,0.16379,2.06559,2.69299,3.10016,0.00172775,0.00172775,0.00172775
13,5742.43,1.94244,2.13291,2.45985,0.45796,0.62044,0.43425,0.14909,2.14918,2.18897,2.97024,0.001703,0.001703,0.001703
14,6161.63,1.91158,2.12942,2.44462,0.60394,0.62774,0.5635,0.23296,1.92671,2.25757,2.84776,0.00167825,0.00167825,0.00167825
15,6579.16,1.83594,2.0343,2.38814,0.65179,0.63504,0.60728,0.21851,2.02628,1.97,3.02436,0.0016535,0.0016535,0.0016535
