epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5497,3.07221,3.3398,4.19701,0.00352,0.9562,0.01256,0.00423,2.60634,3.24305,4.14689,0.00034,0.00034,0.00034
2,20.3008,3.00433,3.26619,4.09547,0.00355,0.9635,0.01719,0.00508,2.70644,3.2795,4.05707,0.00069538,0.00069538,0.00069538
3,30.8758,2.96153,3.16407,3.83176,0.00285,0.77372,0.03074,0.0071,3.01687,3.34319,3.79622,0.00104601,0.00104601,0.00104601
4,40.9234,2.77538,3.08786,3.50231,0.00366,0.9708,0.23947,0.05537,2.37998,3.14433,3.48237,0.00139188,0.00139188,0.00139188
5,49.3139,2.55636,2.95865,3.28049,0.0441,0.84672,0.10829,0.03891,2.23761,3.46383,3.78448,0.00173301,0.00173301,0.00173301
6,59.3432,2.50704,2.81077,3.08303,0.00349,0.94891,0.04633,0.01732,2.34586,3.17274,4.29414,0.001934,0.001934,0.001934
7,69.3512,2.40217,2.68156,2.97287,0.26825,0.67153,0.26664,0.05818,2.67249,2.49403,3.54299,0.0019208,0.0019208,0.0019208
8,77.9602,2.33124,2.6023,2.8897,0.60867,0.43143,0.4432,0.15951,2.35982,2.47324,3.66653,0.0019076,0.0019076,0.0019076
9,87.8471,2.20567,2.43215,2.71094,0.16173,0.49635,0.13572,0.0343,2.30796,4.11514,3.45778,0.0018944,0.0018944,0.0018944
10,97.796,2.11914,2.37247,2.62616,0.23341,0.43796,0.18984,0.05158,2.19465,4.0265,3.2782,0.0018812,0.0018812,0.0018812
11,106.453,1.98385,2.22213,2.54089,0.63706,0.60584,0.57206,0.20659,2.15159,2.32001,3.33349,0.001868,0.001868,0.001868
12,116.351,1.93231,2.1626,2.48967,0.31837,0.49635,0.25838,0.07239,2.21489,2.50936,3.18133,0.0018548,0.0018548,0.0018548
13,126.475,1.88344,2.09341,2.41331,0.50998,0.51825,0.47292,0.21878,2.03559,2.28131,3.2808,0.0018416,0.0018416,0.0018416
14,135.352,1.81118,2.03191,2.34903,0.67171,0.61233,0.58245,0.20266,2.23847,1.7828,3.51348,0.0018284,0.0018284,0.0018284
15,144.876,1.79162,1.95492,2.34452,0.56919,0.56934,0.52919,0.21111,1.99112,2.22436,2.99305,0.0018152,0.0018152,0.0018152
16,154.739,1.75469,1.91419,2.29048,0.6307,0.62331,0.54742,0.20388,2.04754,1.87851,3.08225,0.001802,0.001802,0.001802
17,163.553,1.70924,1.85158,2.24029,0.54352,0.48905,0.48186,0.21323,2.01988,2.09705,3.18133,0.0017888,0.0017888,0.0017888
18,173.108,1.71624,1.84316,2.23876,0.47001,0.43796,0.36354,0.10025,2.57175,2.79802,4.10621,0.0017756,0.0017756,0.0017756
19,182.969,1.70869,1.86092,2.24731,0.75895,0.62044,0.60591,0.24476,2.06507,2.20438,3.2498,0.0017624,0.0017624,0.0017624
20,191.547,1.63098,1.7855,2.16499,0.69586,0.61794,0.61951,0.27079,2.03103,1.71886,3.09387,0.0017492,0.0017492,0.0017492
21,201.315,1.60796,1.74472,2.16257,0.61367,0.54745,0.5893,0.25051,2.02138,1.94358,3.0921,0.001736,0.001736,0.001736
22,211.148,1.61537,1.7407,2.14531,0.77238,0.66878,0.67175,0.31295,1.80062,1.6396,2.85772,0.0017228,0.0017228,0.0017228
23,219.879,1.57736,1.70985,2.10759,0.7717,0.65693,0.668,0.34027,1.79672,1.47489,2.76923,0.0017096,0.0017096,0.0017096
24,229.633,1.55769,1.68619,2.09298,0.75178,0.63504,0.66819,0.28622,1.90113,1.8431,2.86596,0.0016964,0.0016964,0.0016964
25,239.868,1.55821,1.67787,2.1258,0.67649,0.6716,0.70463,0.31571,1.84775,1.99572,2.82619,0.0016832,0.0016832,0.0016832
26,248.962,1.54658,1.64002,2.0898,0.68589,0.64234,0.65139,0.30216,1.8437,1.94439,2.886,0.00167,0.00167,0.00167
27,257.923,1.55014,1.6605,2.0889,0.78846,0.70735,0.75702,0.29728,1.88744,1.55961,2.96659,0.0016568,0.0016568,0.0016568
28,267.894,1.52095,1.64453,2.06288,0.72598,0.54015,0.63125,0.27737,1.87088,1.78223,2.75949,0.0016436,0.0016436,0.0016436
29,277.094,1.46561,1.6082,2.01801,0.67753,0.66423,0.70628,0.29146,1.91327,1.67979,2.78846,0.0016304,0.0016304,0.0016304
30,285.923,1.46851,1.61317,2.033,0.70716,0.68613,0.72265,0.30474,1.89405,1.69433,2.7544,0.0016172,0.0016172,0.0016172
31,295.694,1.39915,1.51306,1.95949,0.77092,0.69343,0.71092,0.32696,1.8518,1.75106,2.91048,0.001604,0.001604,0.001604
32,305.211,1.48404,1.57532,2.00419,0.74222,0.69343,0.72972,0.33687,1.87075,1.49901,2.79051,0.0015908,0.0015908,0.0015908
33,314.18,1.41421,1.56549,1.99393,0.77525,0.6798,0.76174,0.36263,1.74475,1.48971,2.69165,0.0015776,0.0015776,0.0015776
