epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.7444,0.84176,2.44825,1.42282,0.0036,0.9781,0.62009,0.30891,0.99534,2.98364,1.74377,0.00034,0.00034,0.00034
2,21.8211,0.88611,1.65427,1.44743,0.70396,0.38187,0.59221,0.21615,1.51305,2.96168,2.61569,0.00069538,0.00069538,0.00069538
3,31.8783,1.03459,1.56209,1.5582,0.44235,0.45255,0.34353,0.12182,1.72928,3.00179,3.47596,0.00104601,0.00104601,0.00104601
4,41.9701,1.04848,1.47499,1.56347,0.19895,0.06569,0.05804,0.01932,3.19789,4.00782,4.4135,0.00139188,0.00139188,0.00139188
5,50.5063,1.03687,1.40462,1.52152,0.27609,0.12409,0.06992,0.02269,3.12957,3.72454,4.05789,0.00173301,0.00173301,0.00173301
6,60.585,1.09524,1.41411,1.59764,0.05494,0.38686,0.04601,0.01464,2.01645,4.17306,3.32821,0.001934,0.001934,0.001934
7,70.6583,1.09571,1.37375,1.59841,0.15503,0.18978,0.06021,0.01209,3.34751,3.47934,4.59199,0.0019208,0.0019208,0.0019208
8,79.5497,1.13223,1.2938,1.61221,0.43682,0.52653,0.383,0.13129,1.94743,2.18449,3.26948,0.0019076,0.0019076,0.0019076
9,89.5496,1.05589,1.21417,1.57305,0.14785,0.28467,0.10011,0.02575,2.09423,3.58165,3.34029,0.0018944,0.0018944,0.0018944
10,99.5353,1.04772,1.22334,1.56848,0.733,0.70136,0.70107,0.29684,1.81467,1.6006,3.20879,0.0018812,0.0018812,0.0018812
11,108.377,1.0583,1.17839,1.57134,0.05739,0.10949,0.02309,0.00627,3.34951,5.97154,4.11909,0.001868,0.001868,0.001868
12,118.335,1.03034,1.16508,1.55458,0.49835,0.60911,0.53061,0.21487,1.96403,1.8073,2.76114,0.0018548,0.0018548,0.0018548
13,128.774,1.03657,1.14883,1.56186,0.45553,0.46715,0.39392,0.12037,2.2032,3.02124,3.22634,0.0018416,0.0018416,0.0018416
14,138.256,1.03583,1.09151,1.5376,0.6181,0.67883,0.65193,0.24921,1.74038,2.07616,2.51012,0.0018284,0.0018284,0.0018284
15,147.574,1.02799,1.11846,1.54736,0.64639,0.5871,0.64636,0.32224,1.56841,2.08097,2.3051,0.0018152,0.0018152,0.0018152
16,157.886,1.0022,1.06685,1.53078,0.64229,0.6291,0.68358,0.35925,1.4828,1.66307,2.29434,0.001802,0.001802,0.001802
17,167.45,0.99245,1.05151,1.50926,0.73488,0.75182,0.80238,0.41713,1.43941,1.3202,2.20277,0.0017888,0.0017888,0.0017888
18,176.687,0.96626,1.0047,1.48673,0.58419,0.56204,0.53748,0.19896,1.9466,1.78721,2.7791,0.0017756,0.0017756,0.0017756
19,186.631,0.98765,1.02999,1.51126,0.71066,0.66423,0.63868,0.3022,1.82286,1.66347,2.94902,0.0017624,0.0017624,0.0017624
20,196.061,0.9402,0.98231,1.47159,0.48364,0.71533,0.52439,0.25713,1.5714,1.79496,2.53526,0.0017492,0.0017492,0.0017492
21,205.158,0.92617,0.93833,1.45984,0.80917,0.70073,0.77676,0.40565,1.53722,1.37883,2.33911,0.001736,0.001736,0.001736
22,215.104,0.95579,1.00063,1.47713,0.74452,0.72263,0.76023,0.37872,1.58356,1.47939,2.32529,0.0017228,0.0017228,0.0017228
23,224.979,0.91478,0.97641,1.44995,0.67364,0.61775,0.7007,0.37073,1.48872,1.35131,2.23282,0.0017096,0.0017096,0.0017096
24,234.161,0.92425,0.95358,1.45286,0.64252,0.65597,0.60509,0.26163,2.02388,1.64999,3.0581,0.0016964,0.0016964,0.0016964
25,244.206,0.94052,0.96225,1.46236,0.65293,0.77372,0.67862,0.36565,1.50977,1.23462,2.46255,0.0016832,0.0016832,0.0016832
26,254.042,0.93005,0.89635,1.44234,0.86029,0.76642,0.82255,0.477,1.44735,1.09738,2.36377,0.00167,0.00167,0.00167
27,262.679,0.92623,0.93213,1.45158,0.59599,0.71533,0.71367,0.38032,1.4293,1.36137,2.10325,0.0016568,0.0016568,0.0016568
28,272.756,0.89914,0.90877,1.43889,0.72682,0.78832,0.79753,0.47414,1.29793,1.19938,1.98234,0.0016436,0.0016436,0.0016436
29,282.819,0.87869,0.88525,1.41632,0.71187,0.70803,0.77734,0.481,1.27998,1.16845,2.01337,0.0016304,0.0016304,0.0016304
30,291.325,0.87677,0.90542,1.41554,0.79863,0.77372,0.79805,0.41903,1.48936,1.13258,2.34841,0.0016172,0.0016172,0.0016172
31,301.3,0.81653,0.84877,1.36997,0.79611,0.83942,0.86278,0.51084,1.32965,1.14309,2.08601,0.001604,0.001604,0.001604
32,311.1,0.90268,0.87165,1.41171,0.78546,0.80173,0.83486,0.46132,1.48632,1.00623,2.26183,0.0015908,0.0015908,0.0015908
33,320.043,0.87248,0.88119,1.41411,0.76142,0.81022,0.82671,0.46331,1.29424,1.11463,2.03751,0.0015776,0.0015776,0.0015776
34,330.188,0.83544,0.82022,1.37012,0.92605,0.83942,0.90537,0.57228,1.26449,0.82153,1.9717,0.0015644,0.0015644,0.0015644
35,340.181,0.84065,0.81771,1.39294,0.85514,0.86176,0.90717,0.51699,1.35051,0.92953,2.07431,0.0015512,0.0015512,0.0015512
36,349.141,0.84573,0.80954,1.39703,0.93891,0.77372,0.89471,0.50577,1.36186,0.91147,2.08822,0.001538,0.001538,0.001538
37,358.89,0.86688,0.84199,1.38394,0.868,0.81752,0.86636,0.5377,1.19283,0.91947,1.92654,0.0015248,0.0015248,0.0015248
38,368.785,0.81015,0.79668,1.36503,0.86553,0.81022,0.89126,0.54199,1.21445,1.01909,1.90371,0.0015116,0.0015116,0.0015116
39,377.609,0.81583,0.82266,1.36912,0.73559,0.77166,0.7705,0.43788,1.45102,1.27236,2.37556,0.0014984,0.0014984,0.0014984
40,387.201,0.82039,0.80854,1.35746,0.80115,0.82482,0.8449,0.48708,1.34656,1.02023,2.06764,0.0014852,0.0014852,0.0014852
41,397.205,0.80606,0.75179,1.33983,0.90377,0.82482,0.90564,0.5602,1.19826,0.91008,2.00352,0.001472,0.001472,0.001472
42,406.306,0.78944,0.78178,1.33983,0.76114,0.78832,0.82904,0.49464,1.26156,1.11172,2.02513,0.0014588,0.0014588,0.0014588
43,415.829,0.77388,0.76686,1.33248,0.8306,0.84672,0.88407,0.50081,1.35633,1.02362,2.08302,0.0014456,0.0014456,0.0014456
44,425.759,0.78786,0.79624,1.33034,0.87206,0.84584,0.88396,0.50621,1.26935,0.91974,2.00817,0.0014324,0.0014324,0.0014324
45,435.241,0.77439,0.76688,1.32657,0.85762,0.79562,0.77389,0.45849,1.43979,1.02144,2.43106,0.0014192,0.0014192,0.0014192
46,444.531,0.74951,0.74703,1.32496,0.84134,0.78832,0.82261,0.49183,1.29209,0.96823,2.12142,0.001406,0.001406,0.001406
47,454.582,0.72924,0.72215,1.31188,0.87129,0.79562,0.85774,0.51591,1.30829,0.89982,2.14646,0.0013928,0.0013928,0.0013928
48,463.472,0.78401,0.75507,1.33564,0.8487,0.90511,0.92413,0.60725,1.11763,0.86078,1.81684,0.0013796,0.0013796,0.0013796
49,473.005,0.77922,0.77513,1.34296,0.91801,0.81726,0.90974,0.57936,1.15867,0.85719,1.84703,0.0013664,0.0013664,0.0013664
50,482.98,0.7537,0.73458,1.30541,0.83632,0.7832,0.89622,0.57127,1.17663,0.96928,1.84877,0.0013532,0.0013532,0.0013532
51,492.335,0.77275,0.76146,1.32013,0.78715,0.79562,0.7988,0.40588,1.53599,1.14084,2.41165,0.00134,0.00134,0.00134
52,501.515,0.73038,0.71121,1.29283,0.76598,0.82482,0.86169,0.49839,1.36314,1.02333,2.10458,0.0013268,0.0013268,0.0013268
53,511.556,0.76753,0.74481,1.32355,0.845,0.78102,0.86007,0.49819,1.27778,1.03636,2.07904,0.0013136,0.0013136,0.0013136
54,520.901,0.75815,0.74692,1.33019,0.8,0.77372,0.8032,0.47552,1.38382,1.28007,2.28813,0.0013004,0.0013004,0.0013004
55,530.056,0.72333,0.70402,1.29763,0.83823,0.84672,0.90248,0.56579,1.24306,0.89932,1.95513,0.0012872,0.0012872,0.0012872
56,540.056,0.73014,0.72556,1.31091,0.80216,0.79908,0.82905,0.49838,1.189,0.96166,1.96455,0.001274,0.001274,0.001274
57,549.424,0.76505,0.72707,1.33208,0.79727,0.80376,0.799,0.502,1.28582,0.97158,2.12807,0.0012608,0.0012608,0.0012608
58,558.65,0.76039,0.72147,1.30474,0.91059,0.81777,0.88682,0.6161,1.06562,0.81998,1.81427,0.0012476,0.0012476,0.0012476
59,568.802,0.72105,0.68679,1.28716,0.9038,0.80292,0.90531,0.62092,1.06633,0.81547,1.72328,0.0012344,0.0012344,0.0012344
60,578.276,0.72055,0.6685,1.28791,0.86936,0.85401,0.91541,0.62825,1.07369,0.85341,1.74921,0.0012212,0.0012212,0.0012212
61,587.293,0.69311,0.67368,1.26462,0.8469,0.80758,0.84091,0.5545,1.2789,0.84333,2.01004,0.001208,0.001208,0.001208
62,597.416,0.73208,0.66069,1.29218,0.91122,0.82414,0.91192,0.51584,1.37412,0.84676,2.09351,0.0011948,0.0011948,0.0011948
63,607.341,0.71427,0.67018,1.28052,0.95113,0.85401,0.9399,0.62382,1.09574,0.78251,1.78551,0.0011816,0.0011816,0.0011816
64,616.181,0.71884,0.66581,1.2787,0.85114,0.89781,0.92789,0.64639,0.98947,0.73299,1.6854,0.0011684,0.0011684,0.0011684
65,626.451,0.68495,0.65651,1.26996,0.85671,0.82917,0.87071,0.58572,1.13546,0.80915,1.93851,0.0011552,0.0011552,0.0011552
66,636.249,0.69505,0.67643,1.26789,0.74846,0.84705,0.88652,0.60356,1.07168,0.88027,1.75001,0.001142,0.001142,0.001142
67,644.77,0.69024,0.64097,1.26316,0.89409,0.86274,0.9292,0.65961,0.96475,0.73507,1.6379,0.0011288,0.0011288,0.0011288
68,654.74,0.69235,0.63676,1.26725,0.88841,0.8717,0.93286,0.6376,0.98985,0.72879,1.61997,0.0011156,0.0011156,0.0011156
69,664.572,0.6659,0.62632,1.24915,0.8803,0.81752,0.89988,0.61102,1.04601,0.8451,1.73462,0.0011024,0.0011024,0.0011024
70,673.082,0.72685,0.67947,1.28586,0.93579,0.85105,0.92998,0.64321,1.00686,0.79983,1.63282,0.0010892,0.0010892,0.0010892
71,683.175,0.67147,0.65689,1.25287,0.89917,0.84621,0.92202,0.63583,0.98487,0.73132,1.65226,0.001076,0.001076,0.001076
72,693.156,0.65157,0.60382,1.23207,0.85971,0.80516,0.85619,0.54409,1.20121,0.87682,2.02532,0.0010628,0.0010628,0.0010628
